customer_id,first_name,last_name,gender,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,address,postcode,property_valuation
60,Nadiya,Champerlen,Female,1970-02-04,,Manufacturing,Mass Customer,0,False,11474 Westend Hill,3752,8
61,Kacey,Rowbottom,Female,1959-11-29,Help Desk Operator,Property,High Net Worth,0,False,308 Jana Crossing,2153,10
62,Sorcha,Roggers,Female,1979-07-06,,IT,Mass Customer,0,True,163 Straubel Trail,2217,10
63,Ebony,Zini,Female,1965-07-03,Senior Quality Engineer,Retail,Mass Customer,0,True,68294 Clarendon Crossing,2230,10
64,Gerek,Yve,Male,1978-03-25,Legal Assistant,IT,High Net Worth,0,False,486 Mariners Cove Plaza,3046,7
65,Yale,Tanser,Male,1976-04-01,Information Systems Manager,Financial Services,Affluent Customer,0,True,0322 Dryden Court,3183,7
66,Anselm,Gawne,Male,2002-03-11,Account Executive,Agriculture,High Net Worth,0,False,9 Bonner Road,2070,12
67,Vernon,,Male,1960-06-14,Web Developer II,Retail,Mass Customer,0,False,07041 Briar Crest Lane,2213,10
68,Dahlia,Eddoes,Female,1974-04-21,Information Systems Manager,,Affluent Customer,0,False,29466 Hanson Pass,4208,6
69,Heidi,Milner,Female,1969-06-22,Web Developer II,,Mass Customer,0,False,0212 Forest Run Trail,2774,8
70,Foster,Vannoort,Male,1993-02-27,Paralegal,Financial Services,Affluent Customer,0,False,33055 Menomonie Parkway,4133,8
71,Hoyt,Glavias,Male,1985-01-27,Research Associate,Agriculture,Affluent Customer,0,True,4763 Merchant Avenue,2756,8
72,Sammy,Cheese,Male,1972-02-13,Administrative Officer,Manufacturing,Affluent Customer,0,True,439 Ridgeway Court,4213,9
73,Minette,Worters,Female,1960-05-27,Teacher,,Affluent Customer,0,True,2 Clyde Gallagher Lane,4170,5
74,Pansy,Kiddie,Female,1969-06-19,,,Mass Customer,0,True,97455 Loeprich Lane,2153,9
75,Dollie,Sealy,Female,1978-07-15,VP Product Management,Property,Mass Customer,0,False,9527 Ridgeway Street,2073,10
76,Rea,Hasser,Female,1978-01-23,Statistician II,Retail,High Net Worth,0,True,7 Jackson Point,3561,1
77,Shermie,Andrin,Male,1989-09-12,Automation Specialist IV,Financial Services,Mass Customer,0,False,74 Anniversary Junction,2330,6
78,Arch,Van der Kruis,Male,1985-03-12,Business Systems Development Analyst,Agriculture,Affluent Customer,0,False,2083 Spaight Court,3977,8
79,Tybi,Silliman,Female,1968-10-02,Account Executive,Manufacturing,Mass Customer,0,False,2796 Caliangt Circle,2204,12
80,Pablo,Small,Male,1978-04-24,Data Coordiator,Entertainment,Mass Customer,0,False,96061 Ludington Place,2086,11
81,Bee,Blazewicz,Female,1986-09-04,,Health,High Net Worth,0,False,5037 Merchant Crossing,2226,11
82,Gleda,Cokely,Female,1965-06-28,Software Test Engineer III,Property,High Net Worth,0,False,289 Haas Street,2075,11
83,Kerr,Simmell,Male,1967-02-26,Internal Auditor,IT,Mass Customer,0,True,4423 Bartelt Parkway,2038,12
84,Rich,Mathiasen,Male,1958-02-07,Accountant III,,Mass Customer,0,True,5 Grim Center,2069,12
85,Kane,Tixall,Male,1958-05-21,Analyst Programmer,,Mass Customer,0,False,73042 Roth Crossing,2100,11
86,Job,Sleney,Male,1989-03-04,Occupational Therapist,Health,High Net Worth,0,True,171 Fordem Junction,2233,10
87,Fields,Langdon,Male,1974-04-23,Editor,Financial Services,Mass Customer,0,False,2640 Manley Point,2166,9
88,Malynda,Tumber,Female,1966-02-03,Help Desk Operator,Property,High Net Worth,0,True,3 Hintze Pass,3133,10
89,Benedicto,Hoxey,Male,1967-01-22,Speech Pathologist,Health,Mass Customer,0,True,2 Mcbride Road,3070,10
90,Cary,Garron,Male,1984-11-12,Quality Control Specialist,Manufacturing,Mass Customer,0,False,67234 Transport Hill,2777,7
91,Dylan,Meaker,Male,1955-02-24,Senior Financial Analyst,Financial Services,Affluent Customer,0,True,72 Dorton Crossing,3133,10
92,Jodee,Judkins,Female,1980-09-11,Recruiting Manager,Health,Mass Customer,0,False,6 Heffernan Center,2125,11
93,Gordon,Gowar,Male,1976-07-16,Project Manager,Retail,Mass Customer,0,True,6088 Roxbury Hill,2766,8
94,Wallache,Simchenko,Male,1974-08-07,Civil Engineer,Manufacturing,Mass Customer,0,False,105 Shelley Alley,2209,10
95,Nomi,Mallinder,Female,1960-12-25,Software Engineer III,Manufacturing,Affluent Customer,0,True,079 Merry Park,2160,9
96,Heath,Olford,Male,1968-08-31,Nuclear Power Engineer,Manufacturing,Mass Customer,0,False,8722 Summit Alley,2065,12
97,Arne,Corain,Male,1979-07-27,Community Outreach Specialist,Financial Services,Mass Customer,0,True,9554 Artisan Pass,2150,10
98,Allianora,Babalola,Female,1956-03-17,Safety Technician IV,Health,Mass Customer,0,False,55850 Butterfield Road,2168,9
99,Reggie,Mulliner,Male,1998-06-13,VP Accounting,Financial Services,Mass Customer,0,False,68 Little Fleur Crossing,2046,12
100,Tripp,Steed,Male,1968-05-11,General Manager,Financial Services,Mass Customer,0,True,85688 New Castle Crossing,4171,10
101,Goran,Kwietek,Male,1975-12-29,Nurse Practicioner,Manufacturing,High Net Worth,0,False,8611 Loomis Lane,2155,10
102,Langsdon,Tranfield,Male,1956-11-27,Quality Control Specialist,Manufacturing,Affluent Customer,0,False,7909 Pierstorff Crossing,2517,9
103,Ethyl,Runham,Female,1997-04-21,Product Engineer,Financial Services,Affluent Customer,0,True,01 Muir Parkway,2096,12
104,Odille,Panketh,Female,1978-06-06,Automation Specialist II,Health,Mass Customer,0,True,0410 Division Junction,2750,8
105,Maribeth,Pristnor,Female,2001-09-17,Recruiting Manager,Manufacturing,Mass Customer,0,False,41 Service Lane,2217,11
106,Glyn,,Male,1966-07-03,Software Test Engineer III,Health,High Net Worth,0,True,5 Moose Road,3977,8
107,Pris,Stallebrass,Female,1990-07-01,Nurse Practicioner,Financial Services,Mass Customer,0,True,7342 Fieldstone Junction,2093,12
108,Kayle,Mingaud,Female,1994-03-14,,,High Net Worth,0,False,0 David Terrace,3204,11
109,Cody,Blabey,Male,1978-12-11,Marketing Assistant,,Affluent Customer,0,True,15239 Northwestern Point,4300,4
110,Sascha,St. Quintin,Male,2000-07-31,,Financial Services,Affluent Customer,0,False,60 Oneill Street,2170,9
111,Cele,Evason,Female,1993-08-29,Analyst Programmer,,Mass Customer,0,False,8194 Sachtjen Drive,3844,1
112,Shena,Parren,Female,1975-08-12,Marketing Manager,Retail,High Net Worth,0,False,0349 Farmco Terrace,2168,8
113,Gage,Nickless,Male,1956-05-06,Staff Scientist,,Mass Customer,0,False,185 Pennsylvania Way,4226,6
114,Sunny,Swindells,Female,1985-10-23,Teacher,Entertainment,Affluent Customer,0,False,432 Longview Circle,3192,10
115,Alberik,Mereweather,Male,1981-12-21,Account Executive,Health,Mass Customer,0,False,5814 Bunker Hill Street,3070,7
116,Scottie,Swiffen,Male,1999-02-05,Assistant Professor,Manufacturing,Affluent Customer,0,True,7 Carberry Crossing,2485,2
117,Nance,Suttling,Female,1982-02-23,Marketing Manager,Manufacturing,Mass Customer,0,False,53 Talisman Trail,2097,9
118,Prentice,Pearmain,Male,1959-11-12,Budget/Accounting Analyst IV,,High Net Worth,0,False,5 Prairie Rose Road,4817,2
119,Willey,Chastanet,Male,1981-12-04,Associate Professor,,High Net Worth,0,True,84 Florence Parkway,2516,8
120,Sloan,Wagg,Male,1978-09-02,Legal Assistant,Financial Services,High Net Worth,0,True,739 Elmside Way,3074,8
121,Myles,Pauncefort,Male,1957-10-02,Graphic Designer,Manufacturing,Mass Customer,0,False,684 Northport Circle,2213,10
122,Colver,Itter,Male,1979-04-19,Quality Control Specialist,Financial Services,Mass Customer,0,True,8 Hagan Hill,4508,4
123,Almeta,Kalinsky,Female,1988-12-03,Analyst Programmer,Financial Services,High Net Worth,0,False,0 Pearson Crossing,4405,1
124,Kath,Cunney,Female,1995-05-03,Administrative Assistant II,Health,High Net Worth,0,True,10918 Merry Way,2452,5
125,Darrelle,Antoniewski,Female,1960-03-17,Computer Systems Analyst II,Property,Mass Customer,0,False,97 Coolidge Trail,2142,9
126,Norman,Cliff,Male,1992-10-15,Administrative Officer,Health,Mass Customer,0,True,58 Helena Hill,2205,7
127,Merrili,Whitear,Female,1974-12-03,Compensation Analyst,Financial Services,Mass Customer,0,False,352 Forster Place,4132,3
128,Isidro,Cypler,Male,1977-07-17,Systems Administrator III,Property,Mass Customer,0,True,12306 Lawn Street,2145,8
129,Weidar,Silkstone,Male,1985-07-20,Financial Advisor,Financial Services,High Net Worth,0,True,19392 7th Trail,4744,1
130,Raddy,Delete,Male,1997-07-18,Chemical Engineer,Manufacturing,Mass Customer,0,False,1605 Northfield Junction,2158,11
131,Jana,Renyard,Female,1964-10-16,Administrative Officer,Retail,High Net Worth,0,False,9674 Graceland Junction,3201,6
132,Celesta,Willavoys,Female,1963-07-07,Web Designer I,Manufacturing,Mass Customer,0,True,638 Thackeray Junction,4178,3
133,Eldridge,Fiddeman,Male,1977-06-13,VP Accounting,Financial Services,Mass Customer,0,True,869 Forster Circle,2112,10
134,Merna,McCulloch,Female,1997-08-01,Legal Assistant,Telecommunications,Affluent Customer,0,True,0 Golden Leaf Crossing,2033,9
135,Rosalia,Sigart,Female,1975-01-18,Internal Auditor,IT,Mass Customer,0,False,215 Lindbergh Trail,4401,1
136,Mel,Bennet,Male,1973-05-26,Senior Developer,Manufacturing,High Net Worth,0,True,829 Washington Crossing,3186,9
137,Vaughn,Artin,Male,1987-11-21,Office Assistant II,Property,High Net Worth,0,False,585 Loomis Court,2097,11
138,Onofredo,Franc,Male,1985-04-28,Recruiter,Financial Services,Affluent Customer,0,True,68063 Blue Bill Park Center,3058,9
139,Gar,,Male,1964-07-28,Operator,Telecommunications,Affluent Customer,0,False,15673 Farmco Point,4017,6
140,Morrie,Flaxon,Male,1994-05-20,Programmer Analyst III,Manufacturing,Mass Customer,0,False,22 Oxford Junction,2315,3
141,Townsend,Trobe,Male,1954-06-25,Teacher,Financial Services,High Net Worth,0,True,7245 Cottonwood Center,2285,5
142,Bentley,Fortesquieu,Male,1967-08-07,Quality Engineer,Health,Affluent Customer,0,False,20382 Spohn Alley,2219,11
143,Kendall,Figg,Male,1957-09-01,Operator,Agriculture,Mass Customer,0,True,12375 Cambridge Pass,2065,11
144,Jory,Barrabeale,U,,Environmental Tech,IT,Mass Customer,0,False,03 Granby Parkway,3216,8
145,Filippo,Ferrara,Male,1997-07-21,Account Executive,Financial Services,Mass Customer,0,False,939 Coleman Pass,4509,7
146,Ricoriki,Matlock,Male,1985-04-08,Quality Control Specialist,Manufacturing,Mass Customer,0,False,69914 Bowman Place,2330,7
147,Rea,Pattrick,Female,1973-12-06,Analog Circuit Design manager,Health,Mass Customer,0,True,34457 Springview Street,2759,9
148,Jaquith,Maffey,Female,1981-05-08,Programmer Analyst III,,Mass Customer,0,True,992 Old Shore Trail,2069,12
149,Drucy,Kausche,Female,1995-01-31,Research Nurse,Health,Mass Customer,0,True,453 Sheridan Street,2747,8
150,Bradly,Crosse,Male,1983-08-23,Cost Accountant,Financial Services,Affluent Customer,0,False,8 Mccormick Crossing,2227,8
151,Donnie,Brimson,Male,1965-01-31,Marketing Manager,Manufacturing,Mass Customer,0,True,63344 Holmberg Crossing,2025,10
152,Stephana,Cardew,Female,1981-03-03,Compensation Analyst,Financial Services,Mass Customer,0,False,9 Huxley Circle,3191,11
153,Lorilyn,Walshe,Female,1977-07-28,Assistant Media Planner,Entertainment,Mass Customer,0,True,0 Hazelcrest Road,3025,8
154,Faydra,Dulieu,Female,1958-02-13,Junior Executive,,Mass Customer,0,False,2 Continental Plaza,2263,6
155,Orran,Bogges,Male,1985-12-28,Quality Engineer,Manufacturing,Mass Customer,0,False,80 Duke Terrace,2233,10
156,Shayla,Rimmington,Female,1979-09-09,Cost Accountant,Financial Services,Mass Customer,0,True,860 Hintze Lane,2154,11
157,Chad,Houtby,Male,1974-11-23,Financial Advisor,Financial Services,Affluent Customer,0,False,3723 Bunker Hill Circle,2065,10
158,Hamlin,Odams,Male,1984-09-03,Internal Auditor,,Affluent Customer,0,False,5 Corry Court,2119,10
159,Arin,Matskevich,Male,1987-05-12,Research Nurse,Health,Affluent Customer,0,False,65105 Sommers Pass,3016,10
160,Wake,Durning,Male,1964-07-15,Registered Nurse,Health,Mass Customer,0,False,2054 Sommers Pass,4113,4
161,Tadd,Bloss,Male,1976-01-21,,,Mass Customer,0,False,22371 Miller Trail,2032,10
162,Port,Acuna,Male,1979-08-12,Nurse Practicioner,IT,Mass Customer,0,False,35807 Oneill Way,4300,4
163,Kessia,Helder,Female,1976-09-06,Librarian,Entertainment,High Net Worth,0,True,75612 Clarendon Junction,4352,6
164,Aarika,Van Vuuren,Female,1999-08-07,Senior Editor,Retail,Affluent Customer,0,True,16 Golf View Center,3020,6
165,Aldon,Roelofs,Male,1984-03-25,Administrative Officer,Agriculture,Mass Customer,0,True,93 Iowa Junction,2116,9
166,Elston,Oleszczak,Male,1955-06-12,Structural Analysis Engineer,Manufacturing,Affluent Customer,0,False,48 Cascade Terrace,3057,8
167,Nathalie,Tideswell,Female,1969-10-27,,Health,High Net Worth,0,True,13950 Jackson Avenue,2099,11
168,Reggie,Broggetti,U,,General Manager,IT,Affluent Customer,0,True,35386 Mockingbird Road,3749,4
169,Alfy,Bruhnke,Male,1957-10-19,Data Coordiator,Telecommunications,High Net Worth,0,True,2 Randy Point,2766,8
170,Jammal,Gever,Male,1975-06-02,Pharmacist,Health,High Net Worth,0,False,6898 Redwing Park,2148,9
171,Halli,Davidoff,Female,1970-12-04,Assistant Manager,Manufacturing,Mass Customer,0,False,52273 Bay Place,3145,11
172,Hilton,Carney,Male,1988-09-12,Editor,Manufacturing,Affluent Customer,0,True,272 Montana Avenue,2021,8
173,Ebba,Hanselmann,Female,1997-01-02,General Manager,Health,Affluent Customer,0,False,82520 Mifflin Drive,2333,5
174,Catie,Tosspell,Female,1989-11-26,Food Chemist,Health,Mass Customer,0,False,8 Dixon Parkway,2783,7
175,Templeton,Hambrook,Male,1975-11-28,Quality Engineer,Manufacturing,Affluent Customer,0,False,4 Dayton Terrace,2280,9
176,Angelo,Clayal,Male,1992-04-13,Accountant I,Property,Mass Customer,0,False,216 Barnett Junction,4120,8
177,Ondrea,Pablos,Female,1989-11-09,Professor,Financial Services,High Net Worth,0,False,8256 Annamark Court,3638,1
178,Matthieu,Bertelmot,Male,1967-04-03,,,Affluent Customer,0,False,83012 Dapin Lane,4300,4
179,Esteban,Sewill,Male,1966-05-11,Environmental Tech,Manufacturing,High Net Worth,0,True,8 Haas Park,2074,10
180,Trisha,Neasham,Female,1971-09-17,Web Designer III,Agriculture,Affluent Customer,0,False,50 Meadow Ridge Way,2880,1
181,Pavla,Braunle,Female,1982-11-21,Senior Editor,Manufacturing,Mass Customer,0,False,3567 Northfield Lane,2430,5
182,Lydon,Dahlman,Male,1992-11-20,Sales Associate,Financial Services,Affluent Customer,0,True,0059 Brentwood Road,4560,7
183,Dannie,Hissie,Female,1997-08-05,Geologist III,Retail,Affluent Customer,0,False,0274 Oneill Alley,2088,10
184,Nappie,Paolo,Male,1971-12-13,Marketing Manager,Manufacturing,High Net Worth,0,True,4179 Carioca Terrace,2220,11
185,Crosby,Walcot,Male,1979-12-13,,Property,Mass Customer,0,True,59265 Sullivan Junction,3031,4
186,Mireielle,Jeppe,Female,1974-05-06,Software Test Engineer I,Financial Services,Mass Customer,0,False,7 Warbler Point,2250,9
187,Pincas,Ather,Male,1954-01-28,Structural Engineer,,Mass Customer,0,False,3 Buell Park,2261,7
188,Audry,Seine,Female,1975-06-22,Safety Technician II,Property,High Net Worth,0,True,0 Bay Center,3196,6
189,Umberto,Torricella,Male,1981-07-19,Safety Technician I,Financial Services,Affluent Customer,0,False,10878 Waywood Way,4352,7
190,Hayley,Girardengo,Female,1979-02-04,Registered Nurse,Health,Affluent Customer,0,False,362 Mayer Terrace,4680,5
191,Christopher,Heining,Male,1960-04-27,Help Desk Operator,,Affluent Customer,0,True,43 Upham Crossing,3143,9
192,Goldi,Osler,Female,1978-11-19,Junior Executive,Health,Mass Customer,0,True,0 Superior Drive,2747,8
193,Foss,Hardes,Male,1964-07-22,Recruiting Manager,Manufacturing,Mass Customer,0,True,8890 Golden Leaf Street,2063,12
194,Ursala,Ferrai,Female,1974-11-16,Web Developer III,Financial Services,Affluent Customer,0,False,5484 Hagan Crossing,3021,7
195,Talyah,Rylatt,Female,1958-11-14,Project Manager,Manufacturing,Mass Customer,0,False,7451 Jana Lane,2138,8
196,Swen,Odhams,Male,1966-02-22,Programmer Analyst II,Manufacturing,High Net Worth,0,False,7 Havey Point,4005,2
197,Avis,,Female,1977-01-27,,,High Net Worth,0,False,32 Steensland Plaza,2233,9
198,Vanya,Gumb,Female,1981-11-29,Assistant Media Planner,Entertainment,Mass Customer,0,False,107 Elmside Parkway,4811,5
199,Verla,Alven,Female,1978-02-13,Junior Executive,Health,Mass Customer,0,True,2 Gina Junction,2085,11
200,Hube,Weald,Male,1957-02-04,Physical Therapy Assistant,Property,Affluent Customer,0,True,4 Londonderry Lane,3084,10
201,Salem,Huie,Male,1966-04-20,Design Engineer,Manufacturing,Mass Customer,0,True,39716 Vera Junction,3170,9
202,Audie,Pillinger,Female,1963-06-24,Librarian,Entertainment,Affluent Customer,0,True,183 Ronald Regan Street,2066,9
203,Donovan,Conry,Male,1964-01-13,Senior Quality Engineer,Agriculture,Mass Customer,0,True,2 Thierer Road,4113,8
204,Thorny,Hackworth,Male,1976-10-01,Editor,Financial Services,Mass Customer,0,False,056 Stone Corner Alley,4078,7
205,Rolfe,Kellard,Male,1958-12-01,Administrative Assistant II,Financial Services,Mass Customer,0,True,528 Mandrake Crossing,2222,11
206,Mari,Chevolleau,Female,1954-07-19,Statistician I,,Mass Customer,0,True,19969 5th Parkway,3152,9
207,Adena,Whyman,Female,1994-08-10,,,Mass Customer,0,False,78 Rockefeller Park,2159,10
208,Rutter,Excell,Male,1994-10-31,Office Assistant III,Property,High Net Worth,0,False,417 Transport Trail,4503,4
209,Udall,Bellard,Male,1957-08-28,Analog Circuit Design manager,,Affluent Customer,0,True,6327 Lunder Crossing,4655,4
210,Albrecht,Thomasson,Male,1963-11-18,Assistant Manager,Property,Mass Customer,0,False,811 Tony Road,4220,9
211,Beitris,,Female,1974-03-04,VP Marketing,Manufacturing,Mass Customer,0,True,0 Northport Court,4012,3
212,Nanice,Ellse,Female,2001-11-19,Desktop Support Technician,IT,Affluent Customer,0,False,231 Havey Court,2153,10
213,Lockwood,Exroll,Male,1996-05-14,Actuary,Financial Services,High Net Worth,0,True,603 Kenwood Avenue,2070,11
214,Jeramie,Cellier,Male,1957-11-29,Food Chemist,Health,Mass Customer,0,False,09040 Myrtle Parkway,2015,8
215,Debera,Foxworthy,Female,1974-06-24,Assistant Professor,Retail,High Net Worth,0,True,05241 Shelley Park,2776,8
216,Cinderella,Parcall,Female,1995-01-12,Quality Engineer,Financial Services,High Net Worth,0,True,7 Pankratz Point,3011,8
217,Jeralee,Quartly,Female,1979-12-09,,Manufacturing,High Net Worth,0,False,51 Crescent Oaks Parkway,2761,8
218,Stefa,Dunnan,Female,1993-08-06,Administrative Officer,Property,High Net Worth,0,True,49 Emmet Junction,2015,11
219,Markus,Mughal,Male,1964-11-25,Database Administrator III,Health,Mass Customer,0,False,78 Surrey Place,2502,7
220,Jeniffer,Apark,Female,1954-05-10,Electrical Engineer,Manufacturing,High Net Worth,0,False,6236 Summerview Terrace,2110,12
221,Mara,Bloore,Female,1980-03-10,Tax Accountant,Manufacturing,Mass Customer,0,False,682 Sheridan Avenue,2566,9
222,Nev,Larive,Male,1978-09-03,Clinical Specialist,Health,Mass Customer,0,False,04139 Delladonna Place,2519,7
223,Ossie,Meaton,Male,1983-11-26,VP Sales,,Affluent Customer,0,True,2 Scott Circle,2506,9
224,Morgun,Girvan,Male,1967-12-03,Compensation Analyst,Financial Services,Affluent Customer,0,False,92253 Kensington Drive,2209,7
225,Brittaney,Pring,Female,1977-03-11,Pharmacist,Health,Affluent Customer,0,False,93 Westend Terrace,2116,10
226,Bondie,Letty,Male,1977-11-11,Database Administrator IV,Manufacturing,Mass Customer,0,False,4 5th Point,2075,11
227,Wendall,McKeand,Male,1973-08-14,Accountant I,Entertainment,Mass Customer,0,False,11667 Blackbird Street,2226,10
228,Lucia,Pickervance,Female,1986-05-25,Systems Administrator II,Manufacturing,High Net Worth,0,False,0 Sommers Circle,2145,9
